GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.apache.xml.security.keys,ContentHandlerAlreadyRegisteredException,23,0,0,0,10,0,5,0,5,0
JaCoCo Ant Example,org.apache.xml.security.keys,KeyUtils,130,0,12,0,16,0,8,0,2,0
JaCoCo Ant Example,org.apache.xml.security.keys,KeyInfo,833,248,123,29,188,68,117,20,50,11
JaCoCo Ant Example,org.apache.xml.security.algorithms.encryption.helper,AESWrapper,48,352,5,19,12,54,5,11,0,4
JaCoCo Ant Example,org.apache.xml.security.algorithms.encryption.helper,TripleDESWrapper,148,468,15,21,34,90,16,9,1,6
JaCoCo Ant Example,org.apache.xml.security.algorithms.encryption.helper,PKCS15Cipher,206,0,24,0,44,0,20,0,8,0
JaCoCo Ant Example,org.apache.xml.security.algorithms.encryption.helper,OAEPCipher,635,0,40,0,111,0,30,0,10,0
JaCoCo Ant Example,org.apache.xml.security.algorithms.encryption.helper,InvalidCipherTextException,23,0,0,0,10,0,5,0,5,0
JaCoCo Ant Example,org.apache.xml.security.keys.content.x509,XMLX509Certificate,64,34,5,1,22,12,7,5,4,5
JaCoCo Ant Example,org.apache.xml.security.keys.content.x509,XMLX509SubjectName,80,0,4,0,24,0,11,0,9,0
JaCoCo Ant Example,org.apache.xml.security.keys.content.x509,XMLX509IssuerSerial,123,0,6,0,31,0,14,0,11,0
JaCoCo Ant Example,org.apache.xml.security.keys.content.x509,XMLX509CRL,23,0,0,0,10,0,5,0,5,0
JaCoCo Ant Example,org.apache.xml.security.keys.content.x509,XMLX509SKI,147,0,8,0,38,0,13,0,9,0
JaCoCo Ant Example,org.apache.xml.security.keys.provider,KeyStoreElement.MyEnumeration,38,0,4,0,8,0,5,0,3,0
JaCoCo Ant Example,org.apache.xml.security.keys.provider,CertificateElement,84,0,4,0,23,0,8,0,6,0
JaCoCo Ant Example,org.apache.xml.security.keys.provider,KeyElement,337,0,16,0,66,0,20,0,12,0
JaCoCo Ant Example,org.apache.xml.security.keys.provider,KeyStoreElement,673,0,60,0,170,0,54,0,24,0
JaCoCo Ant Example,org.apache.xml.security.keys.provider,ApacheXMLProvider,11,0,0,0,3,0,1,0,1,0
